ID,Pred
2022_1103_1104,0.143791748
2022_1103_1112,0.091515369
2022_1103_1116,0.124658822
2022_1103_1120,0.065143899
2022_1103_1124,0.096230157
2022_1103_1129,0.174457093
2022_1103_1136,0.55665211
2022_1103_1151,0.279988634
2022_1103_1159,0.58457636
2022_1103_1161,0.134272033
2022_1103_1163,0.130616635
2022_1103_1166,0.20399532
2022_1103_1168,0.551513994
2022_1103_1172,0.172257618
2022_1103_1174,0.446896499
2022_1103_1181,0.082439794
2022_1103_1209,0.479013492
2022_1103_1211,0.071511849
2022_1103_1222,0.101511028
2022_1103_1228,0.123109159
2022_1103_1231,0.205829209
2022_1103_1234,0.111296627
2022_1103_1235,0.177256888
2022_1103_1240,0.487914533
2022_1103_1242,0.103839632
2022_1103_1246,0.086041108
2022_1103_1255,0.460148464
2022_1103_1260,0.160002425
2022_1103_1261,0.153283965
2022_1103_1266,0.184488765
2022_1103_1272,0.116406707
2022_1103_1274,0.226883849
2022_1103_1276,0.159757295
2022_1103_1277,0.154555902
2022_1103_1286,0.415335223
2022_1103_1293,0.162455989
2022_1103_1308,0.287643571
2022_1103_1313,0.504766219
2022_1103_1314,0.142509498
2022_1103_1323,0.192059659
2022_1103_1326,0.149712544
2022_1103_1344,0.130654622
2022_1103_1345,0.119636309
2022_1103_1350,0.349585395
2022_1103_1353,0.224503752
2022_1103_1355,0.209672259
2022_1103_1361,0.174617311
2022_1103_1362,0.17494548
2022_1103_1371,0.143043138
2022_1103_1388,0.125647713
2022_1103_1389,0.579477055
2022_1103_1394,0.813182308
2022_1103_1395,0.193504142
2022_1103_1397,0.124644156
2022_1103_1400,0.147483623
2022_1103_1403,0.12389585
2022_1103_1411,0.730864633
2022_1103_1412,0.215085344
2022_1103_1417,0.10681509
2022_1103_1425,0.156457095
2022_1103_1436,0.240930532
2022_1103_1437,0.12087583
2022_1103_1439,0.210330394
2022_1103_1458,0.117178531
2022_1103_1460,0.715853843
2022_1103_1461,0.250556737
2022_1103_1463,0.469749483
2022_1104_1112,0.270312195
2022_1104_1116,0.377292421
2022_1104_1120,0.268555604
2022_1104_1124,0.322919346
2022_1104_1129,0.577543122
2022_1104_1136,0.886124042
2022_1104_1151,0.727814853
2022_1104_1159,0.89869874
2022_1104_1161,0.439187921
2022_1104_1163,0.408536213
2022_1104_1166,0.585495401
2022_1104_1168,0.880623944
2022_1104_1172,0.564188994
2022_1104_1174,0.863589703
2022_1104_1181,0.405624126
2022_1104_1209,0.84946798
2022_1104_1211,0.328642082
2022_1104_1222,0.311456544
2022_1104_1228,0.405344618
2022_1104_1231,0.603536918
2022_1104_1234,0.368240323
2022_1104_1235,0.57746545
2022_1104_1240,0.869830023
2022_1104_1242,0.30428043
2022_1104_1246,0.341165078
2022_1104_1255,0.829926198
2022_1104_1260,0.555351291
2022_1104_1261,0.416906708
2022_1104_1266,0.575152351
2022_1104_1272,0.576703326
2022_1104_1274,0.560503251
2022_1104_1276,0.566433435
2022_1104_1277,0.557591473
2022_1104_1286,0.8570558
2022_1104_1293,0.456635985
2022_1104_1308,0.693773377
2022_1104_1313,0.847988656
2022_1104_1314,0.413693611
2022_1104_1323,0.605644304
2022_1104_1326,0.539586606
2022_1104_1344,0.442329213
2022_1104_1345,0.350917073
2022_1104_1350,0.740038225
2022_1104_1353,0.644625412
2022_1104_1355,0.677343236
2022_1104_1361,0.55801659
2022_1104_1362,0.573190421
2022_1104_1371,0.56262362
2022_1104_1388,0.41999467
2022_1104_1389,0.88846385
2022_1104_1394,0.965
2022_1104_1395,0.578519108
2022_1104_1397,0.348270371
2022_1104_1400,0.433100232
2022_1104_1403,0.364233144
2022_1104_1411,0.94175916
